code,label
T_CS2_21,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan
T_CS2_22,Terdapat papan nama CS di area meja kerja CS
T_CS2_23,Terdapat informasi/signage terkait status transaksi CS
T_CS3_2,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani) - XYZ
T_CS3_5,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong) - XYZ
T_CS3_8,Mengetahui pengetahuan yang baik tentang produk perbankan - XYZ
T_CS3_11,Memberikan solusi yang tepat terhadap permasalahan nasabah - XYZ
T_CS3_14,Cepat dalam memberikan layanan - XYZ
T_CS3_17,Teliti dalam memberikan layanan - XYZ
T_CS3_20,Waktu antrian di CS cepat - XYZ
T_CS3_23,CS memiliki kehandalan sistem komputer di meja CS (online) - XYZ
T_CS3_26,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah - XYZ
T_CS3_29,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah - XYZ
T_CS3_32,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - XYZ"
T_CS3_35,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik - XYZ
T_CS3_38,Memberikan informasi yang lengkap dan akurat - XYZ
T_CS3_41,Tidak mengobrol dengan rekan kerja - XYZ
T_CS3_44,CS berpenampilan rapi dan menarik - XYZ
T_CS3_47,Menunjukkan keinginan untuk membantu nasabah - XYZ
T_CS3_50,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - XYZ.1
T_CS3_53,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan - XYZ
T_CS3_56,CSnya mengucapkan terima kasih saat mengakhiri layanan - XYZ
T_CS3_59,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah) - XYZ"
T_CS3_62,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan - XYZ
T_CS3_65,Terdapat papan nama CS di area meja kerja CS - XYZ
T_CS3_68,Terdapat informasi/signage terkait status transaksi CS - XYZ
T_CS3_71,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap CUSTOMER SERVICE bank….. - XYZ"
T_CS3_3,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani) - kompetitor
T_CS3_6,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong) - kompetitor
T_CS3_9,Mengetahui pengetahuan yang baik tentang produk perbankan - kompetitor
T_CS3_12,Memberikan solusi yang tepat terhadap permasalahan nasabah - kompetitor
T_CS3_15,Cepat dalam memberikan layanan - kompetitor
T_CS3_18,Teliti dalam memberikan layanan - kompetitor
T_CS3_21,Waktu antrian di CS cepat - kompetitor
T_CS3_24,CS memiliki kehandalan sistem komputer di meja CS (online) - kompetitor
T_CS3_27,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah - kompetitor
T_CS3_30,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah - kompetitor
T_CS3_33,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - kompetitor"
T_CS3_36,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik - kompetitor
T_CS3_39,Memberikan informasi yang lengkap dan akurat - kompetitor
T_CS3_42,Tidak mengobrol dengan rekan kerja - kompetitor
T_CS3_45,CS berpenampilan rapi dan menarik - kompetitor
T_CS3_48,Menunjukkan keinginan untuk membantu nasabah - kompetitor
T_CS3_51,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - kompetitor.1
T_CS3_54,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan - kompetitor
T_CS3_57,CSnya mengucapkan terima kasih saat mengakhiri layanan - kompetitor
T_CS3_60,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah) - kompetitor"
T_CS3_63,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan - kompetitor
T_CS3_66,Terdapat papan nama CS di area meja kerja CS - kompetitor
T_CS3_69,Terdapat informasi/signage terkait status transaksi CS - kompetitor
T_CS3_72,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap CUSTOMER SERVICE bank….. - kompetitor"
CS5,Berapa lama waktu tunggu/antri CS Anda untuk kunjungan hari ini? ___ menit
CS6,Berapa lamakah waktu tunggu/antri CS yang Anda bisa terima/toleransi? ___ menit
T_CA1_1,CA ramah selama melayani (tersenyum dan tidak jutek selama melayani)
T_CA1_2,CA selalu standby ketika dibutuhkan
T_CA1_3,Mengetahui pengetahuan yang baik tentang produk perbankan.1
T_CA1_4,Cepat dalam memberikan layanan.1
T_CA1_5,Teliti dalam memberikan layanan.1
T_CA1_6,Waktu layanan oleh CA cepat
T_CA1_7,Dapat menangani berbagai macam masalah sesuai kebutuhan
T_CA1_8,CA memiliki keandalan sistem komputer/Laptop yang di gunakan (online)
T_CA1_9,CA memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CA ketika menjelaskan produk kepada nasabah
T_CA1_10,CA memiliki pemahaman terhadap permintaan/permasalahan nasabah
T_CA1_11,Memberikan informasi yang lengkap dan akurat.1
T_CA1_12,Tidak mengobrol dengan rekan kerja.1
T_CA1_13,CA berpenampilan rapi dan menarik
T_CA1_14,Menunjukkan keinginan untuk membantu nasabah.1
T_CA1_15,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah).2
T_CA1_16,CA mengucapkan salam saat menyambut dan mengakhiri layanan
T_CA1_17,CA mengucapkan terima kasih saat mengakhiri layanan
T_CA1_18,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah).1"
T_CA1_19,CA menawarkan bantuan lain ketika akan mengakhiri layanan
T_CA2_1,CA ramah selama melayani (tersenyum dan tidak jutek selama melayani).1
T_CA2_2,CA selalu standby ketika dibutuhkan.1
T_CA2_3,Mengetahui pengetahuan yang baik tentang produk perbankan.2
T_CA2_4,Cepat dalam memberikan layanan.2
T_CA2_5,Teliti dalam memberikan layanan.2
T_CA2_6,Waktu layanan oleh CA cepat.1
T_CA2_7,Dapat menangani berbagai macam masalah sesuai kebutuhan.1
T_CA2_8,CA memiliki keandalan sistem komputer/Laptop yang di gunakan (online).1
T_CA2_9,CA memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CA ketika menjelaskan produk kepada nasabah.1
T_CA2_10,CA memiliki pemahaman terhadap permintaan/permasalahan nasabah.1
T_CA2_11,Memberikan informasi yang lengkap dan akurat.2
T_CA2_12,Tidak mengobrol dengan rekan kerja.2
T_CA2_13,CA berpenampilan rapi dan menarik.1
T_CA2_14,Menunjukkan keinginan untuk membantu nasabah.2
T_CA2_15,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah).3
T_CA2_16,CA mengucapkan salam saat menyambut dan mengakhiri layanan.1
T_CA2_17,CA mengucapkan terima kasih saat mengakhiri layanan.1
T_CA2_18,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah).2"
T_CA2_19,CA menawarkan bantuan lain ketika akan mengakhiri layanan.1
T_CA2_20,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap CUSTOMER ADVISOR bank"
T_SL1_1,Terdapat Smart Tab pada kantor cabang
T_SL1_2,CA menggunakan Smart Tab ketika menjelaskan kepada nasabah
T_SL1_3,Terdapat XYZ Santer pada kantor cabang
T_SL1_4,XYZ Santer dapat berfungsi dengan baik
T_SL1_5,Terdapat Digital Signage pada kantor cabang
T_SL1_6,Digital Signage dapat berfungsi dengan baik
T_SL1_7,Terdapat Smart Table pada kantor cabang
T_SL1_8,Smart Table dapat berfungsi dengan baik
T_SL1_9,Terdapat Pinpad pada area kerja CS
T_SL1_10,Pinpad dapat berfungsi dengan baik
T_SL1_11,Terdapat Pinpad pada area kerja Teller
T_SL1_12,Pinpad dapat berfungsi dengan baik.1
T_SL1_13,"Terdapat mesin CRM pada kantor cabang (CRM adalah mesin ATM yang memiliki fungsi ATM Tarikan Tunai, ATM Non Tunai, dan ATM Setoran Tunai)"
T_SL1_14,Mesin CRM dapat berfungsi dengan baik
T_SL1_15,Terdapat mesin TCR pada kantor cabang (TCR adalah mesin setor tunai di mana nasabah dapat melakukan setoran tunai secara mandiri di area toonbank teller)
T_SL1_16,Mesin TCR dapat berfungsi dengan baik
T_SL2_1,Terdapat Smart Tab pada kantor cabang.1
T_SL2_2,CA menggunakan Smart Tab ketika menjelaskan kepada nasabah.1
T_SL2_3,Terdapat XYZ Santer pada kantor cabang.1
T_SL2_4,XYZ Santer dapat berfungsi dengan baik.1
T_SL2_5,Terdapat Digital Signage pada kantor cabang.1
T_SL2_6,Digital Signage dapat berfungsi dengan baik.1
T_SL2_7,Terdapat Smart Table pada kantor cabang.1
T_SL2_8,Smart Table dapat berfungsi dengan baik.1
T_SL2_9,Terdapat Pinpad pada area kerja CS.1
T_SL2_10,Pinpad dapat berfungsi dengan baik.2
T_SL2_11,Terdapat Pinpad pada area kerja Teller.1
T_SL2_12,Pinpad dapat berfungsi dengan baik.3
T_SL2_13,"Terdapat mesin CRM pada kantor cabang (CRM adalah mesin ATM yang memiliki fungsi ATM Tarikan Tunai, ATM Non Tunai, dan ATM Setoran Tunai).1"
T_SL2_14,Mesin CRM dapat berfungsi dengan baik.1
T_SL2_15,Terdapat mesin TCR pada kantor cabang (TCR adalah mesin setor tunai di mana nasabah dapat melakukan setoran tunai secara mandiri di area toonbank teller).1
T_SL2_16,Mesin TCR dapat berfungsi dengan baik.1
T_SL2_17,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap SARANA ELEKTRONIK LAYANAN bank"
AT1,Apakah Anda pernah menggunakan ATM Bank XYZ dan ATM {0}?
T_AT2_1,Mesin ATMnya mudah ditemui dimana-mana
T_AT2_2,"Ketersediaan berbagai jenis ATM (tunai, setor tunai, non tunai)"
T_AT2_3,"Fitur-fitur yang ada di mesin ATM lengkap: pembayaran berbagai macam tagihan, transfer antar bank dan pembelian"
T_AT2_4,Antrian di mesin ATM tidak panjang
T_AT2_5,Saya merasa aman ketika bertransaksi menggunakan ATM karena dilengkapi dengan CCTV/ada sekuriti
T_AT2_6,"Mesin ATM dapat berfungsi dengan baik ketika akan digunakan (tidak sering error, offline,struk selalu tersedia)"
T_AT2_7,Mesin ATMnya berada di lokasi yang aman (bukan di tempat yang sepi)
T_AT2_8,"Ruangan mesin ATMnya nyaman (sejuk, bersih, wangi)"
T_AT2_9,Menyediakan ATM dengan berbagai pilihan pecahan nominal (Rp 50.000/Rp 100.000)
T_AT2_10,Kartu ATMnya dapat digunakan untuk bertransaksi dan berbelanja
T_AT2_11,Selalu meminta PIN setiap kali berganti transaksi untuk menjamin keamanan
T_AT2_12,Kartu ATMnya bisa digunakan di ATM BERSAMA dan jaringan ATM lainnya
T_AT2_13,Memiliki alarm yang mengingatkan jika kartu ATM belum diambil dari mesin ATM
T_AT2_14,Disediakan nomor call center di mesin ATM yang bisa dihubungi
T_AT2_15,Tersedia tempat sampah di bilik ATM
T_AT2_16,Terdapat tutup pengaman di atas tombol/keypad untuk menjaga kerahasiaan nasabah saat memasukkan PIN
T_AT2_17,Tersedia informasi untuk lokasi ATM terdekat
T_AT2_18,Memiliki persediaan uang yang cukup
T_AT3_2,Mesin ATMnya mudah ditemui dimana-mana - XYZ
T_AT3_5,"Ketersediaan berbagai jenis ATM (tunai, setor tunai, non tunai) - XYZ"
T_AT3_8,"Fitur-fitur yang ada di mesin ATM lengkap: pembayaran berbagai macam tagihan, transfer antar bank dan pembelian - XYZ"
T_AT3_11,Antrian di mesin ATM tidak panjang - XYZ
T_AT3_14,Saya merasa aman ketika bertransaksi menggunakan ATM karena dilengkapi dengan CCTV/ada sekuriti - XYZ
T_AT3_17,"Mesin ATM dapat berfungsi dengan baik ketika akan digunakan (tidak sering error, offline,struk selalu tersedia) - XYZ"
T_AT3_20,Mesin ATMnya berada di lokasi yang aman (bukan di tempat yang sepi) - XYZ
T_AT3_23,"Ruangan mesin ATMnya nyaman (sejuk, bersih, wangi) - XYZ"
T_AT3_26,Menyediakan ATM dengan berbagai pilihan pecahan nominal (Rp 50.000/Rp 100.000) - XYZ
T_AT3_29,Kartu ATMnya dapat digunakan untuk bertransaksi dan berbelanja - XYZ
T_AT3_32,Selalu meminta PIN setiap kali berganti transaksi untuk menjamin keamanan - XYZ
T_AT3_35,Kartu ATMnya bisa digunakan di ATM BERSAMA dan jaringan ATM lainnya - XYZ
T_AT3_38,Memiliki alarm yang mengingatkan jika kartu ATM belum diambil dari mesin ATM - XYZ
T_AT3_41,Disediakan nomor call center di mesin ATM yang bisa dihubungi - XYZ
T_AT3_44,Tersedia tempat sampah di bilik ATM - XYZ
T_AT3_47,Terdapat tutup pengaman di atas tombol/keypad untuk menjaga kerahasiaan nasabah saat memasukkan PIN - XYZ
T_AT3_50,Tersedia informasi untuk lokasi ATM terdekat - XYZ
T_AT3_53,Memiliki persediaan uang yang cukup - XYZ
T_AT3_56,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap fasilitas ATM bank…. - XYZ"
T_AT3_3,Mesin ATMnya mudah ditemui dimana-mana - kompetitor
T_AT3_6,"Ketersediaan berbagai jenis ATM (tunai, setor tunai, non tunai) - kompetitor"
T_AT3_9,"Fitur-fitur yang ada di mesin ATM lengkap: pembayaran berbagai macam tagihan, transfer antar bank dan pembelian - kompetitor"
T_AT3_12,Antrian di mesin ATM tidak panjang - kompetitor
T_AT3_15,Saya merasa aman ketika bertransaksi menggunakan ATM karena dilengkapi dengan CCTV/ada sekuriti - kompetitor
T_AT3_18,"Mesin ATM dapat berfungsi dengan baik ketika akan digunakan (tidak sering error, offline,struk selalu tersedia) - kompetitor"
T_AT3_21,Mesin ATMnya berada di lokasi yang aman (bukan di tempat yang sepi) - kompetitor
T_AT3_24,"Ruangan mesin ATMnya nyaman (sejuk, bersih, wangi) - kompetitor"
T_AT3_27,Menyediakan ATM dengan berbagai pilihan pecahan nominal (Rp 50.000/Rp 100.000) - kompetitor
T_AT3_30,Kartu ATMnya dapat digunakan untuk bertransaksi dan berbelanja - kompetitor
T_AT3_33,Selalu meminta PIN setiap kali berganti transaksi untuk menjamin keamanan - kompetitor
T_AT3_36,Kartu ATMnya bisa digunakan di ATM BERSAMA dan jaringan ATM lainnya - kompetitor
T_AT3_39,Memiliki alarm yang mengingatkan jika kartu ATM belum diambil dari mesin ATM - kompetitor
T_AT3_42,Disediakan nomor call center di mesin ATM yang bisa dihubungi - kompetitor
T_AT3_45,Tersedia tempat sampah di bilik ATM - kompetitor
T_AT3_48,Terdapat tutup pengaman di atas tombol/keypad untuk menjaga kerahasiaan nasabah saat memasukkan PIN - kompetitor
T_AT3_51,Tersedia informasi untuk lokasi ATM terdekat - kompetitor
T_AT3_54,Memiliki persediaan uang yang cukup - kompetitor
T_AT3_57,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap fasilitas ATM bank…. - kompetitor"
E1A,Tingkat Kepuasan terhadap XYZ
E1AA,Mohon sebutkan alasan anda memberikan nilai {0}
E1B,Tingkat Kepuasan terhadap Bank kompetitor
E1BB,Mohon sebutkan alasan anda memberikan nilai {0}.1
F1A,Ke depannya saya pasti akan tetap menggunakan layanan dari Bank XYZ
F1B,Ke depannya saya pasti akan tetap menggunakan layanan dari bank…(kompetitor)
G1A,NPS Bank XYZ
G1B,Apakah alasan Anda menjawab skala {0}?
G1C,NPS bank kompetitor
G1D,Apakah alasan Anda menjawab skala {0}?.1
T_H1A_2,"Ke depannya, saya pasti akan tetap menggunakan layanan dari Bank XYZ - XYZ"
T_H1A_5,Memberikan saya kemudahan untuk bertransaksi dimana pun dan kapan pun - XYZ
T_H1A_8,Bank yang memudahkan saya untuk bertransaksi karena digunakan oleh banyak orang - XYZ
T_H1A_11,"Bank yang memberikan banyak keuntungan finansial (bunga lebih tinggi, biaya yang rendah, tanpa biaya administrasi, asuransi gratis) - XYZ"
T_H1A_14,"Bank yang menawarkan produk untuk semua kebutuhan saya (tabungan regular, tabungan anak, tabungan rencana, tabungan dengan tambahan asuransi, tabungan haji, deposito, dan lain-lain) - XYZ"
T_H1A_17,Bank yang memberikan promo sesuai dengan gaya hidup saya - XYZ
T_H1A_20,Memberikan saya kecepatan bertransaksi (real time ke semua bank dan pembayaran) - XYZ
T_H1A_23,Saya merasa aman menyimpan uang dan bertransaksi di bank ini - XYZ
T_H1A_26,"Saya merasa nyaman bertransaksi dengan bank ini dengan segala fasilitas yang diberikan (sistem antrian, e-channel, mesin setor tunai) - XYZ"
T_H1A_29,"Saya merasa dihargai menjadi nasabah bank ini dengan layanan yang ramah, peduli, dan tidak membeda-bedakan - XYZ"
T_H1A_32,Saya bangga menjadi nasabah bank ini dengan produk/layanan/promo yang berbeda yang tidak saya dapatkan dari bank lain - XYZ
T_H1A_35,Bank yang membuat saya merasa up to date/keren/modern - XYZ
T_H1A_38,Bank turun-temurun yang membantu keluarga saya dan mengajarkan saya menabung pertama kali - XYZ
T_H1A_41,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - XYZ.1
T_H1A_44,Bank ini membuat saya merasa prestigius/bergengsi - XYZ
T_H1A_3,"Ke depannya, saya pasti akan tetap menggunakan layanan dari bank … (kompetitor) - kompetitor"
T_H1A_6,Memberikan saya kemudahan untuk bertransaksi dimana pun dan kapan pun - kompetitor
T_H1A_9,Bank yang memudahkan saya untuk bertransaksi karena digunakan oleh banyak orang - kompetitor
T_H1A_12,"Bank yang memberikan banyak keuntungan finansial (bunga lebih tinggi, biaya yang rendah, tanpa biaya administrasi, asuransi gratis) - kompetitor"
T_H1A_15,"Bank yang menawarkan produk untuk semua kebutuhan saya (tabungan regular, tabungan anak, tabungan rencana, tabungan dengan tambahan asuransi, tabungan haji, deposito, dan lain-lain) - kompetitor"
T_H1A_18,Bank yang memberikan promo sesuai dengan gaya hidup saya - kompetitor
T_H1A_21,Memberikan saya kecepatan bertransaksi (real time ke semua bank dan pembayaran) - kompetitor
T_H1A_24,Saya merasa aman menyimpan uang dan bertransaksi di bank ini - kompetitor
T_H1A_27,"Saya merasa nyaman bertransaksi dengan bank ini dengan segala fasilitas yang diberikan (sistem antrian, e-channel, mesin setor tunai) - kompetitor"
T_H1A_30,"Saya merasa dihargai menjadi nasabah bank ini dengan layanan yang ramah, peduli, dan tidak membeda-bedakan - kompetitor"
T_H1A_33,Saya bangga menjadi nasabah bank ini dengan produk/layanan/promo yang berbeda yang tidak saya dapatkan dari bank lain - kompetitor
T_H1A_36,Bank yang membuat saya merasa up to date/keren/modern - kompetitor
T_H1A_39,Bank turun-temurun yang membantu keluarga saya dan mengajarkan saya menabung pertama kali - kompetitor
T_H1A_42,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - kompetitor.1
T_H1A_45,Bank ini membuat saya merasa prestigius/bergengsi - kompetitor
T_I1A_2,Saya merasa Bahagia pada saat menggunakan layanan cabang - XYZ
T_I1A_5,Saya Percaya dengan layanan cabang - XYZ
T_I1A_8,Saya merasa Dihargai sebagai nasabah oleh cabang - XYZ
T_I1A_11,Saya merasa Diperhatikan sebagai nasabah oleh cabang - XYZ
T_I1A_14,Saya merasa Aman pada saat menggunakan layanan cabang - XYZ
T_I1A_17,Saya merasa Fokus pada saat menggunakan layanan cabang - XYZ
T_I1A_20,Layanan cabang Memanjakan Saya sebagai nasabah - XYZ
T_I1A_23,Saya merasa Tertarik dengan layanan cabang - XYZ
T_I1A_26,Layanan yang diberikan cabang membuat saya merasa Penuh Semangat - XYZ
T_I1A_29,Saya merasa Tidak Puas dengan layanan yang diberikan cabang - XYZ
T_I1A_32,Saya merasa Frustasi pada saat menggunakan layanan cabang - XYZ
T_I1A_35,Saya merasa Kecewa dengan layanan cabang - XYZ
T_I1A_38,Saya merasa Tertekan dengan layanan yang diberikan cabang - XYZ
T_I1A_41,Saya merasa Tidak Bahagia dengan layanan yang diberikan cabang - XYZ
T_I1A_44,Saya merasa Diabaikan pada saat menggunakan layanan cabang - XYZ
T_I1A_47,Saya merasa Tergesa-gesa pada saat menggunakan layanan cabang - XYZ
T_I1A_3,Saya merasa Bahagia pada saat menggunakan layanan cabang - kompetitor
T_I1A_6,Saya Percaya dengan layanan cabang - kompetitor
T_I1A_9,Saya merasa Dihargai sebagai nasabah oleh cabang - kompetitor
T_I1A_12,Saya merasa Diperhatikan sebagai nasabah oleh cabang - kompetitor
T_I1A_15,Saya merasa Aman pada saat menggunakan layanan cabang - kompetitor
T_I1A_18,Saya merasa Fokus pada saat menggunakan layanan cabang - kompetitor
T_I1A_21,Layanan cabang Memanjakan Saya sebagai nasabah - kompetitor
T_I1A_24,Saya merasa Tertarik dengan layanan cabang - kompetitor
T_I1A_27,Layanan yang diberikan cabang membuat saya merasa Penuh Semangat - kompetitor
T_I1A_30,Saya merasa Tidak Puas dengan layanan yang diberikan cabang - kompetitor
T_I1A_33,Saya merasa Frustasi pada saat menggunakan layanan cabang - kompetitor
T_I1A_36,Saya merasa Kecewa dengan layanan cabang - kompetitor
T_I1A_39,Saya merasa Tertekan dengan layanan yang diberikan cabang - kompetitor
T_I1A_42,Saya merasa Tidak Bahagia dengan layanan yang diberikan cabang - kompetitor
T_I1A_45,Saya merasa Diabaikan pada saat menggunakan layanan cabang - kompetitor
T_I1A_48,Saya merasa Tergesa-gesa pada saat menggunakan layanan cabang - kompetitor
T_J1_1,Bank XYZ sudah melakukan proses DIGITALISASI LAYANAN CABANG DENGAN BAIK
T_J1_2,Keberadaan DIGITAL SIGNAGE di cabang XYZ MEMUDAHKAN saya sebagai nasabah dalam memperoleh informasi produk layanan XYZ
T_J1_3,Keberadaan SMART TABLE di cabang XYZ MEMUDAHKAN bagi saya sebagai nasabah dalam dalam memperoleh informasi produk layanan XYZ(Note: JAWAB 999 JIKA CABANG TIDAK MEMILIKI SMART TABLE)
T_J1_4,Keberadaan TABLET SURVEY di cabang XYZ MEMUDAHKAN saya sebagai nasabah untuk memberikan penilaian layanan tim cabang
T_J1_5,Akses ke cabang XYZ mudah
T_J1A_1,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)? (Bank XYZ sudah melakukan proses DIGITALISASI LAYANAN CABANG DENGAN BAIK - Menjawab {0})
T_J1A_2,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)? (Keberadaan DIGITAL SIGNAGE di cabang XYZ MEMUDAHKAN saya sebagai nasabah dalam memperoleh informasi produk layanan XYZ - Menjawab {0})
T_J1A_3,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)? (Keberadaan SMART TABLE di cabang XYZ MEMUDAHKAN bagi saya sebagai nasabah dalam dalam memperoleh informasi produk layanan XYZ - Menjawab {0})
T_J1A_4,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)? (Keberadaan TABLET SURVEY di cabang XYZ MEMUDAHKAN saya sebagai nasabah untuk memberikan penilaian layanan tim cabang - Menjawab {0})
T_J1A_5,Apakah alasan Anda menjawab skala _____ (Bacakan jawaban J1)? (Akses ke cabang XYZ mudah - Menjawab {0})
T_J2_1,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Bank XYZ sudah melakukan proses DIGITALISASI LAYANAN CABANG DENGAN BAIK)
T_J2_2,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Keberadaan DIGITAL SIGNAGE di cabang XYZ MEMUDAHKAN saya sebagai nasabah dalam memperoleh informasi produk layanan XYZ)
T_J2_3,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Keberadaan SMART TABLE di cabang XYZ MEMUDAHKAN bagi saya sebagai nasabah dalam dalam memperoleh informasi produk layanan XYZ)
T_J2_4,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Keberadaan TABLET SURVEY di cabang XYZ MEMUDAHKAN saya sebagai nasabah untuk memberikan penilaian layanan tim cabang)
T_J2_5,Menurut Bapak/Ibu apakah yang perlu diperbaiki dari Bank XYZ sehingga dapat menjadi lebih baik? (Akses ke cabang XYZ mudah)
P1,Apa status pernikahan Bapak/Ibu saat ini?
P2,Berapa jumlah anak yg Bapak/Ibu miliki?
P3,Apakah pendidikan terakhir Bapak/Ibu?
P4,Apakah pekerjaan Bapak/Ibu saat ini?
Q_85_S,Others.12
P5,"Berapakah rata-rata PENGELUARAN RUTIN KELUARGA Bapak/Ibu per bulannya untuk keperluan sehari-hari, tetapi tidak termasuk pengeluaran untuk rekreasi, pakaian, sepatu & pengeluaran non-rutin lain serta juga kredit-kredit seperti: mobil, rumah, elektronik, dll"
P6,Berapakah rata-rata PENGHASILAN RUMAH TANGGA Bapak/Ibu per bulannya termasuk bonus dan pajakCatatan: Penghasilan Mahasiswa/i adalah uang saku yang didapatkan dari orang tua per bulan; Penghasilan Ibu Rumah Tangga adalah uang yang diberikan suami per bulan.
